,finbert_sentiment,finbert_uncertainty,finbert_neg_ratio,finbert_pos_ratio,finbert_sentiment_5d,finbert_uncertainty_5d,finbert_sentiment_22d,finbert_uncertainty_22d,finbert_sentiment_mom5d,finbert_sentiment_std22d
2010-07-06,-0.1927785724401474,0.6907271146774292,0.3,0.0,-0.09468666892498731,0.6967411160469055,-0.09406662541864948,0.6675837405703284,0.006110861897468567,0.1399354995209051
2010-07-07,-0.22539754211902618,0.43431442975997925,0.4,0.1,-0.1414067655801773,0.6485043644905091,-0.10642657035284421,0.6515157561410557,-0.23360048327594995,0.1389317720983086
2010-07-08,0.08255795389413834,0.6763375997543335,0.1,0.2,-0.09533835798501969,0.6640700459480285,-0.08877192077819597,0.6589080894535239,0.23034203797578812,0.13704941440805382
2010-07-09,-0.02425205148756504,0.5523155331611633,0.2,0.2,-0.08394495435059071,0.6242743611335755,-0.0877283999950371,0.656290586699139,0.05696701817214489,0.13746771129711272
2010-07-12,-0.06398076564073563,0.7729156613349915,0.2,0.0,-0.08477019555866719,0.6253220677375794,-0.09130041999742389,0.6686195663430474,-0.004126206040382385,0.13569156132793603
2010-07-13,-0.3593108654022217,0.20857147872447968,0.6,0.2,-0.11807665415108204,0.5288909405469895,-0.1060409307564524,0.6453386904163794,-0.16653229296207428,0.14647249848182575
2010-07-14,-0.07932718098163605,0.605769157409668,0.3,0.1,-0.08886258192360401,0.5631818860769272,-0.09373203584585678,0.6490559097040783,0.14607036113739014,0.13598712915611227
2010-07-15,-0.12826105952262878,0.4645538330078125,0.3,0.2,-0.13102638460695742,0.520825132727623,-0.10328109617429701,0.6335490650751374,-0.21081901341676712,0.13033122080538526
2010-07-16,0.18387779593467712,0.5013624429702759,0.2,0.3,-0.089400415122509,0.5106345146894455,-0.09402169850231572,0.6176467761397362,0.20812984742224216,0.1431483640518703
2010-07-19,-0.14680597186088562,0.5922049283981323,0.3,0.1,-0.10596545636653901,0.4744923681020737,-0.08028479077091272,0.6251017214222387,-0.08282520622015,0.12010569263055651
2010-07-20,0.019484663382172585,0.6345785856246948,0.1,0.2,-0.03020635060966015,0.5596937894821167,-0.07659029973332178,0.6283389797264879,0.37879552878439426,0.12193766585442457
2010-07-21,-0.22112500667572021,0.5062989592552185,0.3,0.1,-0.058565915748476985,0.5397997498512268,-0.07733491888608444,0.6224731024016034,-0.14179782569408417,0.12280444220527977
2010-07-22,0.19497445225715637,0.6185296773910522,0.0,0.2,0.0060811866074800495,0.5705949187278747,-0.0675854012793438,0.6165347702123902,0.32323551177978516,0.13547405770993942
2010-07-23,-0.1924702674150467,0.543640673160553,0.3,0.1,-0.06918842606246471,0.5790505647659302,-0.080509265080433,0.6043826700611548,-0.3763480633497238,0.13308037694525118
2010-07-26,-0.28618329763412476,0.5852856636047363,0.4,0.0,-0.09706389121711254,0.5776667118072509,-0.09414981877092611,0.5964036536487666,-0.13937732577323914,0.13822199512290623
2010-07-27,0.11821293830871582,0.6777800917625427,0.1,0.1,-0.0773182362318039,0.5863070130348206,-0.08532964535565539,0.5914667228406126,0.09872827492654324,0.1454488251539191
2010-07-28,0.08915197849273682,0.6304121017456055,0.1,0.2,-0.015262839198112488,0.611129641532898,-0.07778077297420664,0.5979440422220663,0.31027698516845703,0.15013994488470223
2010-07-29,-0.01728007197380066,0.5310293436050415,0.3,0.1,-0.05771374404430389,0.5936295747756958,-0.06952580195766958,0.5918002609502185,-0.21225452423095703,0.14814341683640606
2010-07-30,-0.39412859082221985,0.3007788062095642,0.6,0.2,-0.09804540872573853,0.5450572013854981,-0.08781359886581247,0.5747675617987459,-0.20165832340717316,0.1622525026114369
2010-08-02,0.004570244811475277,0.777991771697998,0.0,0.1,-0.03989470023661852,0.5835984230041504,-0.08088840209794315,0.5829258608547124,0.29075354244560003,0.1628213450448807
