,latent_0,latent_1,latent_2,latent_3,latent_4,latent_5,latent_6,latent_7,recon_error,vae_anomaly,latent_velocity,latent_acceleration,crisis_distance
2008-09-03,0.113145694,0.120319724,-0.76542383,0.19756721,-0.028904215,0.4041927,-1.0385822,-0.45623118,0.3591323,0.4180808,0.061596047,-0.025031995,0.57286155
2008-09-04,0.12084626,0.09055133,-0.879103,0.19242796,0.01893431,0.45228758,-1.1819537,-0.49195033,0.40208298,0.46404266,0.20081758,0.13922153,0.7536548
2008-09-05,0.13031022,0.09637679,-0.83777064,0.20137545,-0.03636431,0.46803433,-1.1258595,-0.4978214,0.40005925,0.46132666,0.091645226,-0.10917236,0.7071776
2008-09-08,0.124957964,0.09606378,-0.8720625,0.20010106,-0.015741035,0.48499936,-1.1376678,-0.5042882,0.4092255,0.47080824,0.045833256,-0.04581197,0.7376644
2008-09-09,0.10308464,0.01205346,-0.9273725,0.22208299,0.042084485,0.6061728,-1.3724153,-0.51072806,0.46481284,0.5293677,0.2902641,0.24443084,0.9927382
2008-09-10,0.11543132,0.06964566,-0.90185696,0.1919252,-0.0453986,0.5822413,-1.2582421,-0.50164026,0.46583125,0.528699,0.16240057,-0.12786353,0.8727042
2008-09-11,0.10742353,0.04084553,-0.8864501,0.19094416,0.009162188,0.65984595,-1.4237599,-0.51317614,0.48824793,0.5530367,0.1940631,0.031662524,1.0318586
2008-09-12,0.10622184,0.02406399,-0.9003532,0.18633935,-0.005168043,0.6908989,-1.4514818,-0.48012948,0.5000052,0.56414497,0.0593952,-0.1346679,1.0634819
2008-09-15,0.0596862,0.019027993,-0.839974,0.13752513,0.0785694,0.7876549,-1.6692224,-0.46379793,0.6626258,0.7331627,0.2688322,0.20943701,1.2619784
2008-09-16,0.046942607,0.023914889,-0.75637573,0.05858314,0.010704756,0.9473171,-1.8283923,-0.4910409,0.6987872,0.7736479,0.2637834,-0.0050488114,1.4578406
2008-09-17,0.012803122,0.03568442,-0.63205063,-0.07017961,0.059540927,1.0211178,-1.9827175,-0.46016932,0.8425546,0.9241604,0.25679067,-0.0069927275,1.6175904
