,vol_forecast_22d,vol_forecast_5d,vol_forecast_adaptive,har_rv_forecast,actual_rv_22d,actual_rv_5d,spike_label,vix_level,implied_vol,rv_1d,rv_5d,rv_22d,ci_lower_conformal,ci_upper_conformal,ci_lower_quantile,ci_upper_quantile,ci_width_conformal,ci_width_quantile,shock_score,effective_horizon,regime,regime_code,vol_spread,vol_spread_pct,spike_probability,direction,position_size,strategy,recommended_dte,strike_delta,conviction,pnl
2021-08-24,0.09646209922779467,0.0805452154593076,0.09643699170398523,0.10901175430578877,0.1052035645821039,0.08286206173545248,0,17.219999313354492,0.17219999313354492,0.0237263379289976,0.1141166000308325,0.0789391088304728,0.07667397259722217,0.1162000108107483,0.07243853,0.12381341,0.03952603821352613,0.051374882,0.0015774145350702612,21.973183952903806,calm,1,-0.07576300142955969,-43.99709898408869,0.19536433032605874,-1,0.7373544989526565,iron_condor,30,0.16,1.474708997905313,0.049400118006165235
2021-08-25,0.09816996959996613,0.08198202003765816,0.09814773999824215,0.10399841709774048,0.1053565249080391,0.08138272961499628,0,16.790000915527344,0.16790000915527345,0.0352042198928586,0.0859334919462175,0.0788851557216383,0.0783847208914791,0.1179107591050052,0.07324464,0.12718183,0.0395260382135261,0.05393719,0.0013732191120569097,21.97665527509503,calm,1,-0.0697522691570313,-41.54393409980377,0.20885813875347556,-1,0.6466064517531268,iron_condor,30,0.16,1.2932129035062536,0.04044102042938179
2021-08-26,0.10142961157918179,0.10410959513456255,0.10143281538340267,0.1078077148288539,0.1247309528197652,0.07286415884067697,0,18.84000015258789,0.1884000015258789,0.0927380784933197,0.0950007353232618,0.0797384241190008,0.08166979627663962,0.12119583449016572,0.08709934,0.13162534,0.0395260382135261,0.044525996,0.001195456671530146,21.97967723658399,normal,2,-0.08696718614247624,-46.16092645335265,0.23476971093846077,-1,0.9765888946577767,short_strangle,30,0.16,1.9531777893155533,0.06217848589981573
2021-08-27,0.10056884133333807,0.07914072384070497,0.1005465409740632,0.1114884836314402,0.1212648159681185,0.03793751837202431,0,16.389999389648438,0.16389999389648438,0.1392046951498238,0.0979130047881339,0.0850801656582085,0.08078352186730015,0.12030956008082624,0.07767487,0.13366912,0.0395260382135261,0.05599425,0.0010407054787966784,21.982308006860457,calm,1,-0.06335345292242119,-38.653725004061826,0.2277790758263893,-1,0.5657139175704416,iron_condor,30,0.16,1.1314278351408833,0.024119313532168687
2021-08-30,0.1032945016578003,0.08041292644095233,0.10327377125404541,0.1064217519611664,0.1270350962352143,0.03303946705240297,0,16.190000534057617,0.16190000534057616,0.0682179053389976,0.0829870558256105,0.0851373248213484,0.08351075214728235,0.12303679036080847,0.076223895,0.13262792,0.03952603821352613,0.056404024,0.0009059867407918109,21.98459822540654,calm,1,-0.058626234086530754,-36.211384899712264,0.24929055303146525,-1,0.5196990352114093,iron_condor,30,0.16,1.0393980704228185,0.018119259624790034
2021-08-31,0.09293696566951297,0.08446595962389485,0.09293028452548145,0.1043362513029583,0.1327119328632288,0.03297712481464307,0,16.479999542236328,0.1647999954223633,0.0214310128961816,0.0828620617354532,0.0832625900242996,0.0731672654187184,0.1126933036322445,0.075578965,0.12629923,0.0395260382135261,0.050720267,0.0007887072675351306,21.986591976451905,calm,1,-0.07186971089688184,-43.61026267791337,0.16770460093358797,-1,0.7084910544731469,iron_condor,30,0.16,1.4169821089462937,0.0227341052785215
2021-09-01,0.0879336626741977,0.07899816701794282,0.08792752747749226,0.10346278595053204,0.1398869233366267,0.04643927991953833,0,16.110000610351562,0.16110000610351563,0.0049471325990853,0.0813827296149969,0.0830349365609821,0.06816450837072921,0.10769054658425531,0.07391168,0.12347999,0.0395260382135261,0.04956831,0.0006866095560284549,21.988327637547513,calm,1,-0.07317247862602337,-45.42053125622231,0.12824453223669213,-1,0.7380973656868265,iron_condor,30,0.16,1.476194731373653,0.01565732050833734
2021-09-02,0.09554285293966319,0.0942680901171386,0.09554209097780278,0.10182414323587505,0.1439847078034071,0.06913496719677854,0,16.40999984741211,0.1640999984741211,0.0450614693778633,0.0728641588406776,0.0788829937857268,0.07577907187103972,0.11530511008456584,0.07594474,0.125219,0.03952603821352613,0.049274266,0.000597728335765073,21.989838618291994,calm,1,-0.06855790749631832,-41.77812805228639,0.18830565372167413,-1,0.6956766014707849,iron_condor,30,0.16,1.3913532029415698,0.013993737051399295
2021-09-03,0.09819479891878798,0.08646969564908814,0.09818869772918186,0.0934367456112449,0.1446455500168098,0.07095480244955504,0,16.40999984741211,0.1640999984741211,0.0053193453635495,0.0379375183720254,0.0773101937628467,0.07842567862241881,0.11795171683594491,0.07449929,0.13172233,0.0395260382135261,0.057223044,0.0005203527393983392,21.99115400343023,calm,1,-0.06591130074493924,-40.1653268481496,0.2091811995899396,-1,0.5759157128909965,iron_condor,30,0.16,1.151831425781993,0.011204122552193592
2021-09-07,0.09415631813807995,0.0902181038873059,0.09415453415313316,0.09348071547855218,0.1468744222141649,0.07826566297643185,0,18.13999938964844,0.18139999389648442,0.0539947962607159,0.0330394670524044,0.0754900036239522,0.0743915150463701,0.11391755325989622,0.08049514,0.13832547,0.03952603821352613,0.057830326,0.00045299337039590547,21.992299112703268,normal,2,-0.08724545974335127,-48.09562440952326,0.1773610711450892,-1,0.7543227350335757,short_strangle,30,0.16,1.5086454700671514,0.026043423660005026
